Judge,Plaster model,Assessments ,MD-MaxR,MD-MaxL,MD-ManR,MD-ManL
B,10,2,7.1,7.18,6.16,6.09
B,11,1,8.76,9.05,7.64,8.05
B,11,2,7.25,8.62,6.05,8.21
B,12,1,7.98,7.29,6.41,6.57
B,12,2,7.02,6.98,5.83,5.6
B,13,1,7.88,7.52,7.35,6.53
B,13,2,6.84,7.14,6.14,5.99
B,14,1,8.1,8.6,6.92,7.01
B,14,2,7.73,8.48,7.1,6.48
B,15,1,7.85,7.95,6.85,6.4
B,15,2,7.28,6.93,5.36,6.78
B,16,1,8.52,8.77,7.77,7.86
B,16,2,7.69,8.45,6.88,7.39
B,17,1,7.88,8.34,6.18,6.84
B,17,2,7.84,7.71,5.81,5.78
B,18,1,6.94,7.07,6.52,6.55
B,18,2,6.71,6.76,5.76,6.09
B,19,1,8.89,8.68,7.09,7.01
B,19,2,8.09,8.01,6.5,6.3
B,20,1,7.75,7.78,6.98,6.85
B,20,2,7.07,7.52,6.42,6.23
B,21,1,8.34,8.55,6.99,6.95
B,21,2,8.12,7.69,6.6,6.8
B,22,1,7.59,7.56,6.35,6.54
B,22,2,6.93,6.96,5.64,5.6
B,23,1,8.5,8.01,6.99,7.01
B,23,2,7.59,7.26,6.53,6.95
B,24,1,7.69,7.66,6.93,6.88
B,24,2,6.81,6.93,5.93,6.01
B,25,1,7.93,8.04,6.97,6.99
B,25,2,7.08,7.25,6.15,6.6
B,26,1,8.12,7.63,7.14,6.76
B,26,2,6.69,7.89,6.56,6.56
B,27,1,8,8.08,6.87,6.89
B,27,2,6.65,6.74,6.57,6.08
B,28,1,6.72,7.33,6.79,6.6
B,28,2,7.33,6.55,6.5,6.23
B,29,1,8.41,7.95,6.83,6.64
B,29,2,7.98,7.67,6.97,6.91
B,30,1,8.06,7.87,6.93,7.17
B,30,2,7.1,7.41,6.77,5.95
B,31,1,7.48,7.85,6.69,6.6
B,31,2,6.88,7.03,6.01,5.64
B,32,1,8.19,8.2,7.05,6.9
B,32,2,7.94,7.74,6.61,6.71
B,33,1,7.21,7.65,6.66,6.96
B,33,2,6.83,7,6.11,5.68
